<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANR_MV,D,20210108,000000,498.23,498.23,498.23,498.23,0,0
ANR_MV,D,20210111,000000,514.19,514.19,491.17,498.84,0,0
ANR_MV,D,20210112,000000,500.38,504.98,492.7,498.84,0,0
ANR_MV,D,20210113,000000,500.38,500.38,486.56,497.31,0,0
ANR_MV,D,20210114,000000,483.49,486.87,468.14,475.9,0,0
ANR_MV,D,20210115,000000,481.65,489.63,475.9,478.12,0,0
ANR_MV,D,20210118,000000,475.82,475.82,452.8,457.48,0,0
ANR_MV,D,20210119,000000,457.4,457.4,437.45,442.82,0,0
ANR_MV,D,20210120,000000,437.45,440.52,432.92,437.45,0,0
ANR_MV,D,20210121,000000,438.83,460.32,438.83,449.11,0,0
ANR_MV,D,20210122,000000,455.87,457.4,443.59,456.33,0,0
ANR_MV,D,20210125,000000,460.32,465.07,445.2,448.04,0,0
ANR_MV,D,20210126,000000,460.16,460.16,445.35,452.95,0,0
ANR_MV,D,20210127,000000,460.32,468.14,435.14,438.98,0,0
ANR_MV,D,20210128,000000,463.54,463.54,435.91,451.57,0,0
ANR_MV,D,20210129,000000,451.57,455.94,431.31,438.98,0,0
ANR_MV,D,20210201,000000,437.45,442.82,434.15,438.98,0,0
ANR_MV,D,20210202,000000,445.12,445.12,437.45,438.98,0,0
ANR_MV,D,20210203,000000,438.98,443.59,437.45,437.6,0,0
ANR_MV,D,20210204,000000,437.6,463.23,437.6,448.96,0,0
ANR_MV,D,20210205,000000,458.94,458.94,448.96,458.78,0,0
ANR_MV,D,20210208,000000,458.94,465.15,457.4,465.15,0,0
ANR_MV,D,20210209,000000,482.88,511.12,482.88,511.12,0,0
ANR_MV,D,20210210,000000,528.01,551.03,524.17,551.03,0,0
ANR_MV,D,20210211,000000,554.1,599.07,552.56,578.66,0,0
ANR_MV,D,20210212,000000,578.66,595.54,563.15,567.91,0,0
ANR_MV,D,20210215,000000,595.46,595.46,567.91,574.05,0,0
ANR_MV,D,20210216,000000,574.05,574.05,561.77,561.77,0,0
ANR_MV,D,20210217,000000,567.91,567.91,555.63,555.63,0,0
ANR_MV,D,20210218,000000,561.77,561.77,543.35,545.04,0,0
ANR_MV,D,20210219,000000,557.17,557.17,544.89,555.63,0,0
ANR_MV,D,20210222,000000,572.52,572.52,557.17,565.61,0,0
ANR_MV,D,20210223,000000,567.91,567.91,557.17,564.84,0,0
ANR_MV,D,20210224,000000,564.92,564.92,528.39,536.91,0,0
ANR_MV,D,20210225,000000,537.22,537.22,521.87,528.7,0,0
ANR_MV,D,20210226,000000,512.66,573.72,504.98,573.72,0,0
ANR_MV,D,20210301,000000,584.46,584.46,568.22,579.3,0,0
ANR_MV,D,20210302,000000,589.27,592.02,579.3,587.9,0,0
ANR_MV,D,20210303,000000,593.06,610.07,587.9,597.52,0,0
ANR_MV,D,20210304,000000,599.07,605.09,599.07,602.85,0,0
ANR_MV,D,20210305,000000,602.85,602.85,596.92,601.65,0,0
ANR_MV,D,20210308,000000,603.37,603.37,591.34,593.06,0,0
