<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTG_MV,D,20211124,000000,207.86,207.86,207.86,207.86,0,0
PTG_MV,D,20211125,000000,208.19,212.82,200.2,203.19,0,0
PTG_MV,D,20211126,000000,199.86,203.19,196.53,203.19,0,0
PTG_MV,D,20211129,000000,203.19,203.19,196.53,201.39,0,0
PTG_MV,D,20211130,000000,201.19,201.46,196.53,196.53,0,0
PTG_MV,D,20211201,000000,194.87,198.2,194.87,198.2,0,0
PTG_MV,D,20211202,000000,199.53,199.7,185.87,185.87,0,0
PTG_MV,D,20211203,000000,185.54,185.87,183.21,183.21,0,0
PTG_MV,D,20211206,000000,193.17,196.53,186.54,186.54,0,0
PTG_MV,D,20211207,000000,186.54,186.54,179.88,184.87,0,0
PTG_MV,D,20211208,000000,188.17,188.17,188.17,188.17,0,0
PTG_MV,D,20211209,000000,188.17,196.36,179.88,183.21,0,0
PTG_MV,D,20211210,000000,189.87,193.5,189.87,189.87,0,0
PTG_MV,D,20211213,000000,199.66,199.86,193.2,193.2,0,0
PTG_MV,D,20211214,000000,199.53,216.18,199.53,214.85,0,0
PTG_MV,D,20211215,000000,215.52,231.84,215.52,227.21,0,0
PTG_MV,D,20211216,000000,227.51,230.84,217.18,229.84,0,0
PTG_MV,D,20211217,000000,231.01,234.5,218.52,234.5,0,0
PTG_MV,D,20211220,000000,234.84,236.17,229.84,234.8,0,0
PTG_MV,D,20211221,000000,235.14,323.22,229.84,323.22,0,0
PTG_MV,D,20211222,000000,321.78,321.78,312.45,316.65,0,0
PTG_MV,D,20211223,000000,310.96,310.96,298.93,303.12,0,0
PTG_MV,D,20211227,000000,312.45,321.64,300.37,321.64,0,0
PTG_MV,D,20211228,000000,317.11,317.11,301.03,314.78,0,0
PTG_MV,D,20211229,000000,312.45,326.44,304.52,326.44,0,0
PTG_MV,D,20211230,000000,321.78,323.18,317.11,320.85,0,0
PTG_MV,D,20220103,000000,320.85,335.77,320.85,333.44,0,0
PTG_MV,D,20220104,000000,335.77,339.97,328.77,337.63,0,0
PTG_MV,D,20220105,000000,337.63,338.1,333.9,337.63,0,0
PTG_MV,D,20220107,000000,337.63,338.1,332.97,335.77,0,0
PTG_MV,D,20220110,000000,335.77,335.77,321.31,325.98,0,0
PTG_MV,D,20220111,000000,328.59,328.59,317.11,322.71,0,0
PTG_MV,D,20220112,000000,323.18,328.31,317.11,317.11,0,0
PTG_MV,D,20220113,000000,321.78,326.35,305.92,321.78,0,0
PTG_MV,D,20220114,000000,326.44,326.44,311.52,317.11,0,0
PTG_MV,D,20220117,000000,320.38,324.11,317.11,324.11,0,0
PTG_MV,D,20220118,000000,324.11,324.11,317.11,317.11,0,0
PTG_MV,D,20220119,000000,317.11,317.11,303.12,307.88,0,0
PTG_MV,D,20220120,000000,308.02,312.31,296.69,307.23,0,0
PTG_MV,D,20220121,000000,307.23,307.79,298.46,298.93,0,0
PTG_MV,D,20220124,000000,298.46,302.42,268.61,284.47,0,0
PTG_MV,D,20220125,000000,275.14,279.34,270.48,275.61,0,0
PTG_MV,D,20220126,000000,275.61,277.06,273.74,275.14,0,0
PTG_MV,D,20220127,000000,275.38,278.87,271.13,278.87,0,0
PTG_MV,D,20220128,000000,278.87,278.87,269.55,275.14,0,0
PTG_MV,D,20220131,000000,275.14,275.14,261.39,270.48,0,0
PTG_MV,D,20220201,000000,263.48,273.74,263.48,270.48,0,0
PTG_MV,D,20220202,000000,274.68,274.68,271.41,271.41,0,0
PTG_MV,D,20220203,000000,271.41,284.47,267.22,284.47,0,0
PTG_MV,D,20220204,000000,282.79,293.8,282.79,289.18,0,0
PTG_MV,D,20220207,000000,302.89,302.89,284.52,296.13,0,0
PTG_MV,D,20220208,000000,289.13,297.53,267.68,289.13,0,0
PTG_MV,D,20220209,000000,293.8,293.8,279.81,289.13,0,0
PTG_MV,D,20220210,000000,293.75,293.75,289.13,289.13,0,0
PTG_MV,D,20220211,000000,289.13,289.13,284.47,284.47,0,0
PTG_MV,D,20220214,000000,279.81,284.47,270.48,284.47,0,0
PTG_MV,D,20220215,000000,271.69,284.47,271.69,277.48,0,0
PTG_MV,D,20220216,000000,279.76,281.58,279.57,279.57,0,0
PTG_MV,D,20220217,000000,268.15,281.67,268.15,270.48,0,0
PTG_MV,D,20220218,000000,268.15,281.67,268.15,270.48,0,0
PTG_MV,D,20220221,000000,268.15,282.14,262.55,266.75,0,0
PTG_MV,D,20220222,000000,263.02,267.26,262.79,267.26,0,0
PTG_MV,D,20220223,000000,269.59,277.01,269.59,275.14,0,0
PTG_MV,D,20220224,000000,233.64,251.83,214.52,234.11,0,0
PTG_MV,D,20220225,000000,240.63,265.82,226.18,265.82,0,0
PTG_MV,D,20220228,000000,256.49,256.49,230.84,242.36,0,0
PTG_MV,D,20220301,000000,242.41,242.5,230.84,239.37,0,0
PTG_MV,D,20220302,000000,231.31,242.03,219.18,242.03,0,0
PTG_MV,D,20220303,000000,242.03,242.03,223.85,237.84,0,0
PTG_MV,D,20220304,000000,237.6,237.6,224.55,230.84,0,0
PTG_MV,D,20220307,000000,228.51,228.51,207.06,223.8,0,0
PTG_MV,D,20220308,000000,223.85,228.42,215.92,219.18,0,0
PTG_MV,D,20220309,000000,228.42,228.51,228.42,228.51,0,0
PTG_MV,D,20220310,000000,220.16,228.51,220.11,220.11,0,0
PTG_MV,D,20220311,000000,219.23,228.02,219.18,221.05,0,0
PTG_MV,D,20220314,000000,227.58,227.58,226.18,226.18,0,0
PTG_MV,D,20220315,000000,219.18,224.78,214.54,224.78,0,0
PTG_MV,D,20220316,000000,224.78,225.71,216.9,216.9,0,0
PTG_MV,D,20220317,000000,219.18,219.18,214.52,218.25,0,0
PTG_MV,D,20220318,000000,218.72,225.48,212.19,225.48,0,0
PTG_MV,D,20220321,000000,223.61,223.61,219.18,223.38,0,0
PTG_MV,D,20220322,000000,220.39,223.15,220.39,222.4,0,0
PTG_MV,D,20220323,000000,222.4,227.11,219.18,219.18,0,0
PTG_MV,D,20220324,000000,223.61,223.61,219.18,223.38,0,0
PTG_MV,D,20220325,000000,225.24,226.62,220.58,222.89,0,0
PTG_MV,D,20220328,000000,226.64,226.64,224.82,226.6,0,0
PTG_MV,D,20220329,000000,226.6,226.64,222.89,226.64,0,0
PTG_MV,D,20220330,000000,225.71,226.64,224.78,225.71,0,0
PTG_MV,D,20220331,000000,225.71,228.04,225.71,226.64,0,0
PTG_MV,D,20220401,000000,228.51,232.24,223.85,231.31,0,0
PTG_MV,D,20220404,000000,235.74,235.74,228.51,228.51,0,0
PTG_MV,D,20220405,000000,232.71,233.64,230.75,232.47,0,0
PTG_MV,D,20220406,000000,233.17,240.63,233.17,240.63,0,0
PTG_MV,D,20220407,000000,240.17,240.17,233.17,233.17,0,0
PTG_MV,D,20220408,000000,233.17,233.17,230.75,233.17,0,0
PTG_MV,D,20220411,000000,230.37,235.97,226.64,235.97,0,0
PTG_MV,D,20220412,000000,235.5,235.97,235.5,235.5,0,0
PTG_MV,D,20220413,000000,234.11,235.04,226.18,226.18,0,0
PTG_MV,D,20220414,000000,226.18,226.18,219.18,223.85,0,0
PTG_MV,D,20220419,000000,225.71,231.77,223.85,231.31,0,0
PTG_MV,D,20220420,000000,228.98,228.98,224.78,224.78,0,0
PTG_MV,D,20220421,000000,228.04,228.04,224.78,224.78,0,0
PTG_MV,D,20220422,000000,226.18,226.18,219.18,225.71,0,0
PTG_MV,D,20220425,000000,223.85,223.85,217.32,222.45,0,0
PTG_MV,D,20220426,000000,221.51,221.51,215.92,219.18,0,0
PTG_MV,D,20220427,000000,214.52,230.37,214.52,230.37,0,0
PTG_MV,D,20220428,000000,228.51,231.77,219.18,230.84,0,0
PTG_MV,D,20220429,000000,228.51,230.84,219.18,219.18,0,0
PTG_MV,D,20220502,000000,218.72,223.38,218.72,223.38,0,0
PTG_MV,D,20220504,000000,221.51,221.51,212.19,212.65,0,0
PTG_MV,D,20220505,000000,214.52,215.45,214.52,214.52,0,0
PTG_MV,D,20220506,000000,212.65,221.51,206.12,221.05,0,0
PTG_MV,D,20220509,000000,209.86,214.52,201.93,209.86,0,0
PTG_MV,D,20220510,000000,207.52,211.72,205.19,211.72,0,0
PTG_MV,D,20220511,000000,205.19,209.86,205.19,205.66,0,0
PTG_MV,D,20220512,000000,209.86,211.72,205.19,205.19,0,0
PTG_MV,D,20220513,000000,209.86,211.25,202.86,211.25,0,0
PTG_MV,D,20220516,000000,210.32,210.32,203.33,205.19,0,0
PTG_MV,D,20220517,000000,204.73,204.73,201.93,204.73,0,0
PTG_MV,D,20220518,000000,201.93,204.73,199.13,200.53,0,0
PTG_MV,D,20220519,000000,200.53,200.53,191.2,200.53,0,0
PTG_MV,D,20220520,000000,192.13,200.53,186.54,195.86,0,0
PTG_MV,D,20220523,000000,195.86,204.73,195.86,203.33,0,0
PTG_MV,D,20220524,000000,203.33,203.33,193.53,203.33,0,0
PTG_MV,D,20220526,000000,203.33,203.33,193.53,193.53,0,0
PTG_MV,D,20220527,000000,191.2,195.4,191.2,193.53,0,0
PTG_MV,D,20220530,000000,193.53,196.8,193.53,196.8,0,0
PTG_MV,D,20220531,000000,196.8,196.8,183.27,191.2,0,0
PTG_MV,D,20220601,000000,177.68,191.2,177.21,185.61,0,0
PTG_MV,D,20220602,000000,179.08,187.47,179.08,186.54,0,0
PTG_MV,D,20220603,000000,181.87,184.21,173.01,183.74,0,0
PTG_MV,D,20220606,000000,185.61,186.07,179.54,186.07,0,0
PTG_MV,D,20220607,000000,176.74,186.07,176.74,186.07,0,0
PTG_MV,D,20220608,000000,186.07,186.07,185.61,185.61,0,0
PTG_MV,D,20220609,000000,180.01,185.61,177.21,185.61,0,0
