<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMT,MV,D,20210317,000000,110.55,110.55,110.55,110.55,0,0
GMT,MV,D,20210318,000000,115.04,124.66,114.24,123.77,0,0
GMT,MV,D,20210319,000000,124.83,164.64,124.83,160.64,0,0
GMT,MV,D,20210322,000000,168.07,185.16,152.56,155.18,0,0
GMT,MV,D,20210323,000000,163.17,175.41,152.17,155.01,0,0
GMT,MV,D,20210324,000000,155.01,155.01,142.77,142.77,0,0
GMT,MV,D,20210325,000000,144.8,155.01,133.03,138.7,0,0
GMT,MV,D,20210326,000000,139.59,141.14,138.21,139.35,0,0
GMT,MV,D,20210329,000000,139.35,142.77,133.07,135.45,0,0
GMT,MV,D,20210330,000000,137.88,137.88,131.35,131.35,0,0
GMT,MV,D,20210331,000000,132.15,139.51,128.9,129.39,0,0
GMT,MV,D,20210401,000000,130.54,130.54,118.95,119.52,0,0
GMT,MV,D,20210406,000000,119.54,135.02,119.54,133.78,0,0
GMT,MV,D,20210407,000000,136.13,136.13,127.27,133.8,0,0
GMT,MV,D,20210408,000000,134.6,134.6,128.9,131.35,0,0
GMT,MV,D,20210409,000000,133.62,146.85,128.9,143.57,0,0
GMT,MV,D,20210412,000000,145.04,145.04,135.86,138.37,0,0
GMT,MV,D,20210413,000000,138.37,140.33,131.68,131.68,0,0
GMT,MV,D,20210414,000000,128.92,137.05,128.19,128.9,0,0
GMT,MV,D,20210415,000000,132.07,132.07,126.62,128.09,0,0
GMT,MV,D,20210416,000000,128.09,130.54,124.83,130.54,0,0
GMT,MV,D,20210419,000000,130.54,130.54,123.19,123.19,0,0
GMT,MV,D,20210420,000000,123.85,123.85,118.3,121.56,0,0
GMT,MV,D,20210421,000000,122.3,122.3,115.44,116.67,0,0
GMT,MV,D,20210422,000000,116.67,120.75,115.85,116.5,0,0
GMT,MV,D,20210423,000000,115.85,116.67,109.18,109.9,0,0
GMT,MV,D,20210426,000000,106.96,111.23,106.96,108.51,0,0
GMT,MV,D,20210427,000000,109.32,110.92,109.16,110.14,0,0
GMT,MV,D,20210428,000000,110.22,110.22,105.08,105.25,0,0
GMT,MV,D,20210429,000000,105.16,113.81,105.16,110.96,0,0
GMT,MV,D,20210430,000000,110.14,117.48,107.69,107.69,0,0
GMT,MV,D,20210504,000000,113.81,113.81,106.14,107.28,0,0
GMT,MV,D,20210505,000000,107.28,107.28,102.31,104.84,0,0
GMT,MV,D,20210506,000000,104.84,104.84,99.21,100.35,0,0
GMT,MV,D,20210507,000000,100.35,105.65,98.08,102.47,0,0
GMT,MV,D,20210510,000000,105.9,114.63,102.06,113.57,0,0
GMT,MV,D,20210511,000000,114.14,115.85,113.4,114.22,0,0
GMT,MV,D,20210512,000000,109.41,113.4,106.55,106.88,0,0
GMT,MV,D,20210513,000000,110.63,110.63,104.1,107.61,0,0
GMT,MV,D,20210514,000000,109.32,109.32,103.61,104.43,0,0
GMT,MV,D,20210517,000000,106.06,126.87,106.06,126.87,0,0
GMT,MV,D,20210518,000000,130.37,130.37,119.93,127.27,0,0
GMT,MV,D,20210519,000000,128.9,128.9,117.48,117.48,0,0
GMT,MV,D,20210520,000000,119.11,122.3,115.69,119.91,0,0
GMT,MV,D,20210521,000000,119.93,119.93,116.67,118.95,0,0
GMT,MV,D,20210524,000000,116.67,119.11,111.3,114.87,0,0
GMT,MV,D,20210525,000000,114.22,116.42,111.36,111.77,0,0
GMT,MV,D,20210526,000000,113.89,113.89,107.94,113.81,0,0
GMT,MV,D,20210527,000000,114.22,119.52,112.59,118.2,0,0
GMT,MV,D,20210528,000000,117.32,117.48,112.36,116.26,0,0
GMT,MV,D,20210531,000000,114.3,116.55,113.4,114.95,0,0
GMT,MV,D,20210601,000000,115.04,115.85,113.57,114.22,0,0
GMT,MV,D,20210602,000000,114.22,115.04,112.75,114.63,0,0
GMT,MV,D,20210604,000000,113.97,114.22,111.2,114.22,0,0
GMT,MV,D,20210607,000000,114.22,114.22,110.14,114.14,0,0
GMT,MV,D,20210608,000000,115.04,115.04,111.85,114.06,0,0
GMT,MV,D,20210609,000000,113.97,115.04,112.75,114.22,0,0
GMT,MV,D,20210610,000000,115.52,115.52,113,113,0,0
GMT,MV,D,20210611,000000,113,114.71,111.85,113,0,0
GMT,MV,D,20210614,000000,114.55,114.55,111.05,112.59,0,0
GMT,MV,D,20210615,000000,112.59,112.59,109.41,109.65,0,0
GMT,MV,D,20210616,000000,109.41,119.93,105.82,112.54,0,0
GMT,MV,D,20210617,000000,114.06,114.06,108.51,110.55,0,0
GMT,MV,D,20210618,000000,111.77,111.77,107.3,111.69,0,0
GMT,MV,D,20210621,000000,111.69,111.69,108.52,108.59,0,0
GMT,MV,D,20210622,000000,109.9,111.77,106.88,106.88,0,0
GMT,MV,D,20210623,000000,106.47,109.81,106.47,109.14,0,0
GMT,MV,D,20210624,000000,110.06,110.06,106.47,109.7,0,0
GMT,MV,D,20210625,000000,109.32,109.32,104.51,106.86,0,0
GMT,MV,D,20210628,000000,106.88,106.88,104.43,106.06,0,0
GMT,MV,D,20210629,000000,106.88,106.88,104.84,105.65,0,0
GMT,MV,D,20210630,000000,106.88,106.88,102.8,102.96,0,0
GMT,MV,D,20210701,000000,105.98,105.98,103.37,105.9,0,0
GMT,MV,D,20210702,000000,105.82,105.9,103.12,103.47,0,0
GMT,MV,D,20210705,000000,104.43,104.43,102.16,102.28,0,0
GMT,MV,D,20210706,000000,102.8,103.61,102.16,102.8,0,0
GMT,MV,D,20210707,000000,103.61,104.43,102.8,103.61,0,0
