<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
B24,PE,D,20180130,000000,2378.2,2378.2,2378.2,2378.2,0,0
B24,PE,D,20180131,000000,2016.7,2207.9,2000,2000,0,0
B24,PE,D,20180201,000000,2025,2189.1,1804.2,2189.1,0,0
B24,PE,D,20180202,000000,2233.8,2233.8,1991,2118.4,0,0
B24,PE,D,20180205,000000,2118.4,2139.3,1940.8,1978.6,0,0
B24,PE,D,20180206,000000,1792,1922.4,1741.3,1815.5,0,0
B24,PE,D,20180207,000000,1940.3,2189.1,1840.8,2114.5,0,0
B24,PE,D,20180208,000000,2114.4,2209,1995,2183.6,0,0
B24,PE,D,20180209,000000,2089.6,2181.6,2014.9,2181.6,0,0
B24,PE,D,20180212,000000,2181.6,2273.6,2139.3,2189.1,0,0
B24,PE,D,20180213,000000,2194,2194,2040.3,2189.1,0,0
B24,PE,D,20180214,000000,2189.1,2189.1,2139.3,2139.3,0,0
B24,PE,D,20180215,000000,2164.2,2213.9,2164.2,2189.1,0,0
B24,PE,D,20180216,000000,2189.1,2189.1,2089.6,2092.1,0,0
B24,PE,D,20180219,000000,2019.9,2159.2,2019.9,2159.2,0,0
B24,PE,D,20180220,000000,2139.3,2163.7,2139.3,2163.7,0,0
B24,PE,D,20180221,000000,2159.2,2163.7,2139.3,2163.7,0,0
B24,PE,D,20180222,000000,2164.2,2189.1,2164.2,2189.1,0,0
B24,PE,D,20180223,000000,2213.9,2313.4,2187.1,2187.1,0,0
B24,PE,D,20180226,000000,2223.9,2338.4,2223.9,2338.4,0,0
B24,PE,D,20180227,000000,2288.6,2288.6,2238.8,2288.6,0,0
B24,PE,D,20180228,000000,2263.7,2263.7,2194,2194.1,0,0
B24,PE,D,20180301,000000,2263.7,2263.7,2164.2,2164.2,0,0
B24,PE,D,20180302,000000,2218.9,2238.8,2189.1,2189.1,0,0
B24,PE,D,20180305,000000,2213.9,2288.6,2213.9,2238.8,0,0
B24,PE,D,20180306,000000,2189.1,2383.1,2189.1,2338.4,0,0
B24,PE,D,20180307,000000,2338.3,2363.2,2313.4,2313.5,0,0
B24,PE,D,20180308,000000,2383.1,2512.5,2368.2,2512.5,0,0
B24,PE,D,20180309,000000,2437.8,2512.4,2388.1,2388.1,0,0
B24,PE,D,20180312,000000,2482.6,2482.6,2338.3,2477.7,0,0
B24,PE,D,20180313,000000,2437.8,2437.9,2437.8,2437.9,0,0
B24,PE,D,20180314,000000,2437.8,2437.8,2412.9,2413,0,0
B24,PE,D,20180315,000000,2412.9,2437.8,2412.9,2413,0,0
B24,PE,D,20180316,000000,2437.8,2437.8,2353.2,2413,0,0
B24,PE,D,20180319,000000,2412.9,2636.8,2412.9,2512.5,0,0
B24,PE,D,20180320,000000,2512.4,2587.1,2512.4,2537.4,0,0
B24,PE,D,20180321,000000,2537.3,2599.5,2537.3,2587.1,0,0
B24,PE,D,20180322,000000,2587.1,2885.6,2587.1,2733.9,0,0
B24,PE,D,20180323,000000,2636.8,2711.4,2587.1,2587.1,0,0
B24,PE,D,20220408,000000,190.6,190.6,190.6,190.6,0,0
B24,PE,D,20220411,000000,186.4,190.6,182.3,183.1,0,0
B24,PE,D,20220412,000000,184.7,184.7,183.1,184,0,0
